recipe_id,rating,name,n_steps,ingredients,steps,n_ingredients
202716,5,amaretto,6,"['water', 'white sugar', 'brown sugar', 'vodka', 'almond extract', 'vanilla extract']","['combine water and sugars in a very large saucepan over medium heat', 'heat until the mixture is boiling and all sugar is dissolved', 'reduce heat to low and continue to simmer for approximately 2 hours until mixture is thickened and syrupy and lightly coats a spoon', 'remove pan from heat and allow to cool for 10 minutes', 'add vodka and extracts and stir well', 'pour into a bottle and seal']",6
317942,5,wild women s chocolate covered cherry jello shots,13,"['black cherry gelatin', 'unflavored gelatin', 'boiling water', 'creme de cacao', 'coffee', 'maraschino cherries', 'whipped cream', 'chocolate syrup']","['measure water in a microwave safe measuring cup', 'microwave for 3 minutes or until water begins to a boil', 'if you do not have a microwave you can use a pan and a stove top', 'pour jello powder into a large container , if possible one with a pouring spout like a measuring cup or pitcher , and add hot water', 'stir until dissolved', 'measure creme de cacao and coffee and add to the jello mixture', 'stir to combine', 'arrange 36 small disposable plastic or paper cups , about 1 to 2 ounces in size , in a container to protect from spills', 'pour an equal amount of jello into each cup and place container in the refrigerator for at least 4 hours', 'when ready to serve shake can of whipped cream well and invert over each cup', 'spray a small dollop of whipped cream on top', 'drizzle with about a teaspoon of chocolate syrup and top with a cherry !', 'have fun !']",8
98410,5,apple brandy cordial,8,"['apples', 'sugar', 'cinnamon stick', 'pure vanilla extract', 'brandy']","['i remove the seeds because i think they make it bitter if left in the apple', ""i don't use top shelf brandy , i use a less expensive brandy but not the cheapest either , something in between"", 'i use a glass gallon screw-top jar', 'combine all ingredients and place cover on tightly-invert jar , i always place it in a large pan , just in case it might leak', 'let jar stand 24 hours , turn jar upright and let stand another 24 hours', 'repeat process until sugar dissolves', 'store in a dark , cool place 4-6 weeks', 'strain through cheesecloth into decanter']",5
33145,5,long island sunset,4,"['spiced rum', 'peach schnapps', 'sour mix', 'cranberry juice']","['in a large glass , fill with ice', 'add all ingredients', 'stir gently', 'enjoy']",4
432143,5,cranberry lime vodka punch,3,"['vodka', 'cranberry juice', ""rose's lime juice"", 'water', 'sugar', 'ice', 'lime', 'cranberries']","['combine all ingredients except lime , ice and cranberries', 'for each serving , add a few ice cubes to a champagne flute , squeeze and add a lime wedge', 'fill glass with punch and garnish with a few cranberries']",8
326426,5,tropics martini,2,"['vodka', 'malibu rum', 'pineapple juice']","['shake with ice and strain into a chilled martini glass', 'garnish with a pineapple slice']",3
306059,5,sunset sangria,9,"['lime peel', 'lime juice', 'sugar', 'pinot noir wine', 'nectarine']","['in a 1-quart glass measuring cup , combine lime peel , lime juice and sugar', 'add water to equal 4 cups', 'stir to dissolve sugar', 'cover and refrigerate at least 2 hours', 'to serve , place ice cubes in six 16-ounce glasses', 'add 2 / 3 cup of the lime juice mixture to each glass', 'add 1 / 2 cup of wine to each glass , being sure to pour it gently along the side of the glass to keep the colors of the limeade and the wine separated', 'thread a nectarine slice on regular or party skewers and add one skewer to each glass', 'serve immediately']",5
166948,5,island pina colada,2,"['white rum', 'dark rum', 'coconut cream', 'double cream', 'pineapple juice', 'angostura bitters', 'maraschino cherry', 'pineapple slice']","['pour ingredients into a blender and blend for 15 seconds with , or without ice', 'pour into a poco-grande or hurricane glass and garnish with pineapple and cherry']",8
91061,5,blackberry liqueur,5,"['water', 'vodka', 'white sugar', 'blackberries']","['shake together the water , vodka and sugar to dissolve sugar', 'gently mix together with the blackberries , taking care not to cut or crush the berries', 'leave to infuse about 10-12 days until the berries have lost most of their color', 'pour thru a fine strainer and discard the berries', 'pour into decorative bottles']",4
277777,5,pickled mushrooms  canned,18,"['mushrooms', 'white vinegar', 'water', 'pickling salt', 'onion', 'whole black peppercorns', 'garlic cloves']","['trim off stem ends of mushrooms', 'wash mushrooms in cool running water', 'drain', 'in large pot , combine vinegar , water and salt', 'heat , stirring to dissolve salt', 'add mushrooms', 'heat to boiling', 'reduce heat and simmer mushrooms in brine for 10 to 12 minutes or until tender', 'pack mushrooms into sterilized half-pint jars', 'to each jar add: 1 tablespoon onion , 1 / 2 teaspoon peppercorns , and 1 clove garlic', 'fill jars with hot brine , leaving 1 / 2 inch headspace', 'remove air bubbles using a non-metal spatula', 'wipe rims of jars and adjust lids', 'process for 20 minutes in a boiling water bath', 'use additional spices as needed for each jar', 'processing time above is for less than 1000 feet', 'for altitudes of 1000-6000 feet , process 25 minutes', 'above 6000 feet , process for 30 minutes']",7
32431,0,banana split cocktail,2,"['ice', 'strawberry ice cream', 'strawberry liqueur', 'light rum', 'banana liqueur', 'chocolate syrup', 'banana', 'fresh strawberries', 'whipped cream', 'maraschino cherry']","['in a blender , blend all until the consistency of a smoothie', 'pour into a tall glass , and top with whipped cream and a cherry']",10
426066,5,austrian avalanch,3,"['cream', 'simple syrup', 'vodka', 'chambord raspberry liquor', 'ice cubes', 'ice']","['pour vodka , chambord , simple syrup , and cream into an iced mixing glass', 'shake ingredients vigorously and strain into a chilled rocks glass half-filled with ice cubes', 'optional : garnish with three skewered raspberries']",6
245510,5,heavenly,5,"['x-rated fusion liqueur', 'coconut rum', 'peach schnapps', 'pineapple juice']","['mix ingredients together in a shaker of ice', 'pour into a chilled martini glass', 'garnish with anythin from a lightly sugared rim , toasted coconut , or a nice slice of pineapple', 'enjoy !', ')']",4
31591,4,lemon champagne punch,3,"['frozen lemonade concentrate', 'water', 'ginger ale', 'sparkling water', 'champagne']","['mix lemonade and water and chill', 'before serving , add ginger ale and sparkling water and pour over ice cubes in a large punch bowl', 'pour chilled champagne over punch and stir gently']",5
369876,5,blueberry margarita,5,"['tequila', 'blueberries', 'blueberry juice', 'limeade', 'blue curacao', 'ice', 'lime', 'honey', 'salt']","['place ice in blender and crush for 20 seconds', 'add remaining ingredients', 'blend until smooth', 'use half lime to coat glass rims and then dip in salt', 'pour into glasses and enjoy !']",9
226234,4,blue cactus margaritas,14,"['margarita mix', 'prickly pears', 'gold tequila', 'blue curacao', 'limes', 'kosher salt']","['to make prickley pear margarita mix:', 'in a blender add your bottle of margarita mix', 'i usually just cut the cactus pears in half and scoop out the pink flesh', ""add the fruit's flesh to the blender and blend until smooth"", 'strain mixture through a fine sieve or rice strainer', 'press the pulp down to get any remaining liquid out', 'i usually pour strained mix back into margarita mix bottle and use the little left in the bottom of the container to make my first drink', 'for each drink:', 'fill shaker half full of ice', 'add 2 oz tequila , 3 / 4 oz blue curacao and the juice of half a lime', ""shake well and strain into a 12 ounce glass that's been dipped in margarita salt and packed with ice"", 'pour prickly pear margarita mix to the top and serve', 'garnish with lime', 'should make about 8 drinks']",6
302262,5,benihana cherry blossoms,1,"['cherry brandy', 'gin', 'cranberry juice', 'grenadine', 'lemon juice']",['shake vigorously'],5
203720,5,x rated rita,5,"['x-rated fusion liqueur', 'tequila', 'sweet and sour cocktail mix', 'ice', ""rose's lime juice"", 'lime wedges', '7-up soda']","['in a blender add x-rated liqueur , tequilla , sweet and sour , lime juice and desired amount of ice', 'set to crush , or until the consistecy desired for a margarita - may turn watery if you over blend though', 'pour into margarita glass and topwith a splash of 7-up and a lime wedge for garnish', 'enjoy !', ')']",7
157526,5,pink bull  morning and night,7,"['citrus juice', 'red bull energy drink', 'vodka']","['throw frozen juice and bull together and blend', 'pretty straight forward', 'for more slush , return to freezer while you get your other morning chores done', 'after showering and all , it should be fairly solid', 'for night time , add vodka before blending', ""i reccomend sharing , because it'll melt awfully fast and downing it on your own is going to give you brain freeze"", 'you can also serve it in a small rim glass like a frozen greyhound cocktail']",3
232119,2,hemingway special  a caribbean inspired cocktail,3,"['white rum', 'maraschino juice', 'lime, juice of', 'grapefruit juice', 'blue curacao', 'pineapple juice']","['squeeze lime juice into a shaker', 'add remaining ingredients and shake briefly', 'pour into a frosty glass filled with crushed ice']",6
279997,5,baileys mint chocolate martini,2,"['baileys mint chocolate irish cream liqueur', 'vanilla vodka', 'of fresh mint', 'chocolate stick']","['shake with ice and strain', 'garnish with fresh mint and chocolate stick']",4
44087,5,cosmopolitan champagne cocktail,2,"['cointreau liqueur', 'cranberry juice cocktail', 'fresh lime juice', 'superfine sugar', 'champagne']","['stir together cointreau , juices , and sugar and chill , covered , 2 to 6 hours', 'just before serving , divide among 10 champagne flutes and top off with champagne']",5
528393,0,limoncello,8,"['lemons', 'grain alcohol', 'water', 'sugar']","['peel lemons carefully with a vegetable stripper', 'do not use a rasp', 'put into a jar with the everclear', 'seal and store for a week', 'boil water and sugar to make a syrup', 'remove from heat', 'pour liquor through a strainer , discarding peels , combine with the syrup', 'bottle and keep , ready immediately']",4
56127,5,honey raspberry iced tea,4,"['tea', 'cranberry-raspberry juice', 'honey']","['add all ingredients to a large , heat-proof pitcher', 'whisk mixture until honey is dissolved', 'chill until ready to serve', 'to serve , pour tea into ice-filled glasses']",3
280036,5,kahlua  hot  chocolate    heaven sent,4,"['powdered cocoa mix', 'water', 'kahlua', 'cinnamon', 'whipped cream', 'mini marshmallows']","['boil water in microwave or on stove top', 'while stirring , mix cocoa packet with water', 'add kahlua and stir well', 'add toppings , if desired']",6
360468,4,tropical fruit,3,"['kiwi', 'orange', 'mango', 'sparkling water']","['process the fruit in a juicer', 'pour juice in a large glass and fill to top with sparkling mineral water', 'best served with ice']",4
69309,5,apricot brandy slush,6,"['tea bags', 'boiling water', 'water', 'sugar', 'apricot brandy', 'frozen orange juice', 'frozen lemonade']","['in 2 cups boiling water , add tea bags', 'set aside', 'in a large plastic container , combine 7 cups cold water , sugar , orange juice , lemonade and brandy', 'add tea and freeze', 'serve in a glass with any lemon-lime drink', 'add a maraschino cherry for garnish']",7
203707,5,ex boyfriend shot,5,"['x-rated fusion liqueur', 'vanilla vodka', 'pineapple juice']","['invite your favorite girlfriends over', 'combine all liquids in your favorite ""shot glass""', 'enjoy !', ')', 'might be nice on ice as well']",3
346308,5,kahlua latte,4,"['kahlua', 'vodka', 'milk', 'coffee', 'ice']","['pour kahlua , vodka , milk and coffee into a glass', 'stir or shake', 'pour over ice and serve', 'kick yourself for not making a double batch']",5
7859,3,pina colada ii,2,"['ice', 'light rum', 'pineapple juice', 'cream of coconut']","['place all ingredients in blender container and blend on high speed until foamy , about 30 seconds', 'garnish with fruit , if desired']",4
8816,5,cape cod,1,"['vodka', 'lime', 'cranberry juice']",['shake with ice and serve on the rocks'],3
8442,5,side car,1,"['brandy', 'lemon juice', 'cointreau liqueur', 'cracked ice']",['shake all ingredients and strain into a tall glass'],4
213066,4,green carnation,5,"['rum', 'grand marnier', 'orange juice', 'blue curacao']","['chill 2 martini glasses', 'shake all ingredients with lots of ice very well', 'strain into chilled glasses', 'serve with ice if you desire', 'garnish with an orange slice']",4
295570,5,tropical martini,2,"['amaretto', 'coconut rum', 'ice']","['either place amaretto and malibu in a shaker with ice , or directly into a well-chilled cocktail glass', 'either way , combine well and serve well-chilled']",3
188628,5,hot home canned bloody mary mix,6,"['tomatoes', 'yellow onions', 'garlic cloves', 'celery ribs', 'bell peppers', 'horseradish', 'dried hot red chili peppers', 'red pepper seasoning', 'granulated sugar', 'lemon juice', 'salt']","['simmer all ingredients , covered , in a large heavy enamel or stainless steel kettle over moderate heat about 40 minutes , stirring occasionally , until tomatoes have cooked down to juice', 'put mixture through a food mill or press through a fine sieve , forcing out as much juice as possible', 'return strained juice to kettle and bring to a boil', 'pour into 4 hot canning jars , filling each to within 1 inch of top', 'wipe rims and seal', 'process for 30 minutes at 10 pounds of pressure']",11
316544,5,classic white wine spritzer,2,"['white wine', 'seltzer water', 'lemon zest']","['fill a large wine glass with ice and follow with wine topping with seltzers !', 'garnish with lemon zest']",3
177548,5,banana foster martini,3,"['vodka', 'banana liqueur', 'godiva original chocolate liqueur', 'banana', 'vanilla ice cream', 'cocoa powder']","['combine all ingredients in a blender', 'blend until smooth and pour into a cocktail glass', 'garnish with a dusting of powdered cocoa , and serve']",6
8867,5,harvey wallbanger,3,"['vodka', 'galliano', 'orange juice', 'sugar']","['shake the vodka with the sugar , juice and ice', 'serve in a highball glass or strain into a martini glass', 'float the galliano on top']",4
485796,4,bond berry jazztini,3,"['vodka', 'strawberries', 'blackberries', 'sugar']","['cut berries , cover in sugar and let macerate to release the berry juices', ""add vodka , berries and 3-4 ice cubes to a shaker cup , and shake for all it's worth"", 'strain into chilled martini glass']",4
235003,5,110 in the shade,4,"['vodka', 'fresh jalapeno', 'beer', 'ice']","['add jalapeno to vodka and steep overnight in a glass container', 'when happy hour arrives & the sun is bright , pour beer over cracked clear ice into tall pool safe glasses or mugs', 'float an ounce of the pepper infused vodka on top , garnish with a slice of lime and sip through a straw', 'keep life preserver handy just in case']",4
277040,5,crantinis,5,"['cranberry juice cocktail', 'citrus-infused vodka', 'triple sec', 'fresh lime juice', 'fresh cranberries', 'lime slice']","['fill martini shaker or 3-cup covered container half full with ice', 'add all ingredients except cranberries and lime slices', 'cover and shake', 'pour into martini or tall stemmed glasses , straining the ice', 'garnish glasses with fresh cranberries and lime slices on picks']",6
40131,5,long island raspberry iced tea,5,"['gin', 'light rum', 'tequila', 'vodka', 'coke', 'prepared sweet-and-sour mix', 'chambord raspberry liquor', 'ice', 'lemon wedge']","['fill a glass with ice', 'add first 6 ingredients', 'stir gently', 'float chambord on top', 'garnish with lemon wedge']",9
503641,5,creole lady,3,"['bourbon whiskey', 'madeira wine', 'grenadine', 'maraschino cherry']","['put cracked ice in a mixing glass and add the bourbon , madeira , and grenadine', 'stir well , then strain into a cocktail glass', 'garnish a red or green maraschino cherry , and serve']",4
148635,4,one free hour in the candy store,2,"['amaretto', 'creme de noyaux', 'ice cream', 'oreo cookies', 'chambord raspberry liquor']","['blend', 'serve']",5
92704,5,darn good slush,6,"['water', 'sugar', 'tea bags', 'lemonade concentrate', 'orange juice concentrate', 'brandy']","['bring 7 cups of water and 2 cups sugar to a boil and cool', 'take 2 cups water and 2 small tea bags and make tea', 'steep and cool', 'after everything is cool , mix all the ingredients together and put into a container and freeze', 'when it has froze it will be ready to use', 'to use:put 3 large tablespoons of mixture into a glass and fill it up with 7-up or some other type of lemon lime soft drink and stir till slushy']",6
457394,0,grass skirt cocktail,2,"['gin', 'triple sec', 'pineapple juice', 'grenadine', 'cherries']","['pour ingredients in a cocktail shaker filled half way with ice , shake from the ships , hula style , pour through strainer into a cocktail or old-fashioned glass , garnish with a cherry', 'enjoy !']",5
335442,5,riviera delight  carnival cocktail  2,1,"['melon liqueur', 'vodka', 'bacardi light rum', 'amaretto', 'prepared sweet-and-sour mix', 'pineapple juice']",['mix all ingredients & pour over ice'],6
255860,5,prosecco gold rush,4,"['sparkling wine', 'vodka', 'cinnamon schnapps']","['pour prosecco or champagne into a small chilled pitcher without ice', 'add vodka & goldschlager and stir to mix gold flakes evenly through the drink', 'pour into 4 chilled champagne flutes', 'does it get any better than this ?']",3
270487,4,razberri kazi,2,"['raspberry vodka', 'triple sec', 'prepared sweet-and-sour mix', 'grenadine']","['mix ingredients in a shaker with ice', 'pour into a chilled cocktail glass , and serve']",4
127586,5,frozen blueberry margaritas,4,"['fresh orange juice', 'fresh lime juice', 'decorator sugar', 'coarse salt', 'ice', 'tequila', 'fresh blueberries', 'frozen limeade concentrate', 'powdered sugar', 'orange juice']","['dip rims of margarita glasses in orange or lime juice and dip in sugar crystals to coat if desired', 'process ice and next 5 ingredients in a blender till smooth --', 'serve in prepared glasses --', 'makes about 5 1 / 2 cups']",10
55163,5,mock margarita,2,"['sour mix', 'lime juice', 'orange juice', 'lime wedge']","['blend sour mix and juices with ice until smooth', 'serve in a salt-rimmed glass with a lime wedge']",4
297551,5,blue monkey,2,"['blue curacao', 'coconut rum', 'orange juice', 'pineapple juice']","['pour in hurricane glass with crushed ice', 'stir or mix gently']",4
225953,5,agua de valencia   knock your socks off spanish cava punch,4,"['sparkling wine', 'fresh orange juice', 'cointreau liqueur', 'ice cube']","['put some ice cubes into a large jug and pour over lots of orange juice', 'now add the bottle of cava', 'once the fizz subsides , stir in a good dash of the cointreau and its ready to serve', 'makes about 2 pints']",4
251087,5,boston cream pie in a glass,3,"['vanilla vodka', 'chocolate liqueur', 'irish cream', 'cocoa powder']","['add all ingredients to a cocktail shaker half-filled with ice cubes , in equal parts', 'shake vigorously', 'pour into a margarita or large martini glass with a cocoa dipped rim , and serve']",4
136231,4,i am tired of living   cocktail,7,"['light rum', 'tequila', 'grand marnier', 'grenadine', 'tea bag', 'powdered sugar', 'maraschino cherries', 'cracked ice']","['frost two 8-ounce crystal glasses in your freezer for at least 30 minutes or so', 'brew the tea and chill it in the freezer', 'stir in the powdered sugar after it cools', 'in a separate carafe , blend the rum , tequila , grand marnier and the grenadine', 'pour this mix into the two glasses , an equal amount in each', 'fill each glass the rest of the way with the chilled tea', 'garnish with a couple of the cherries on a toothpick in each glass']",8
267726,4,mike s peach puff martini,3,"['peach schnapps', 'raspberry vodka', 'sprite', 'ice cubes']","['add ice cubes , peach schnapps , raspberry vodka , and sprite to a cocktail shaker', 'shake well for 4 seconds', 'strain into a martini glass']",4
425482,5,nuclear ice tea,3,"['vodka', 'gin', 'rum', 'triple sec', 'midori melon liqueur', 'sour mix', 'sprite', 'lemon slices']","['fill a collins glass with ice', 'add all the ingredients , topping off with the sprite', 'garnish with slice of lemon or a sprig of fresh mint']",8
34923,4,german  melonenbowle   melon wine punch,9,"['watermelon', 'honeydew melon', 'rose wine', 'sparkling rose wine']","['2-3 hours before your guests arrive , halve the watermelon , remove any seeds and scoop out the flesh using a melonballer', 'place melon balls in a large clear glass punch bowl or bowle pitcher', 'halve the honeydew melon , remove any seeds , and scoop out the flesh with a melonballer', 'add the honeydew melon balls to the watermelon balls and pour 1 bottle of wine over the fruit', 'chill , covered , until guests arrive', 'when the guests have arrived , add remaining wine and the champagne to the fruit mixture and serve', 'you can use a knife to carve designs around the green shell , if desired', 'if using the watermelon rind as your bowl , prepare bowle as usual , only transfer the soaked fruit into the chilled empty rind just before serving and add the remaining liquid', 'set on a plate to catch any spills or leaks']",4
185278,5,b53,1,"['vodka', 'kahlua', 'amarula cream liqueur']",['layer in glass by carefully pouring ingredients in the above order'],3
185304,5,tequila shot for the tequila enthusiast,3,"['tequila', 'oranges', 'granulated sugar', 'cinnamon']","['mix together sugar and cinnamon on plate', 'pour tequila into shot glasses', 'enjoy tequila followed by orange slices dredged / dipped in sugar mixture']",4
282963,4,strasberry daiquiri,3,"['strawberries', 'raspberry preserves', 'simple syrup', 'honey', 'vanilla ice cream', 'white wine', 'brandy', 'ice']","['process all ingredients in a blender until smooth', 'garnish with mint leaf and fresh strawberry', 'freeze any extra for enjoyment later']",8
291650,4,pussyfoot  alcoholic drink,5,"['ice', 'white rum', 'heavy cream', 'pineapple juice', 'lime juice', 'cherry juice', 'pineapple slice', 'maraschino cherry']","['put some crushed ice in a blender and add the rum , cream and juices', 'blend at high speed for 15-20 seconds', 'pour into a hurricane glass', 'decorate with a slice of pineapple and a cherry', 'enjoy !']",8
22911,5,vodka lemon slush,5,"['frozen lemonade concentrate', 'frozen limeade concentrate', 'frozen orange juice concentrate', 'water', 'vodka', 'sugar', 'carbonated beverage']","['in a large plastic container combine all ingredients and mix well', 'cover& freeze overnight', 'to serve , scrape a large spoon across the top of the frozen mixture and place 1 / 2 cup of slush into a 8-oz glass', 'fill with soda of choice', 'cheers !']",7
103575,5,whiskey slush,4,"['unsweetened pineapple juice', 'ginger ale', 'frozen lemonade', 'frozen orange juice', 'whiskey', '7-up']","['mix all ingredients except for the 7-up together and freeze overnight', 'to serve , fill a glass half full with slush and top off with 7-up', 'to make a non-alcoholic version , simply omit the whiskey', 'cooking time is freezing time']",6
301853,5,lemon lime iced tea,8,"['green tea bags', 'boiling water', 'frozen concentrated lemonade', 'white rum', 'ice cube', 'lemon', 'lime']","['add tea bags to boiling water', 'steep for 3 minute remove bags , then immediately add frozen lemonade and stir until completely dissolved', 'sweeten with sugar or honey , if needed', 'refrigerate at least until cold', 'then stir in rum to taste', 'to serve , place a few ice cubes in a large pitcher', 'thinly slice lemon and lime and add', 'pour tea mixture overtop']",7
154194,0,iced teani,3,"['vodka', 'sweetened iced tea', 'fresh lemon juice']","['pour all ingredients in to a shaker with ice', 'shake very well', 'strain into a chilled martini glass']",3
327526,5,vodka thyme lemonade,13,"['sugar', 'fresh thyme', 'fresh lemon juice', 'vodka']","['in a small saucepan , combine 2 cups water with the sugar and thyme', 'bring to a boil over high heat , stirring occasionally , until sugar has dissolved', 'remove from heat', 'let cool to room temperature', 'pour mixture through a fine sieve into a large glass measuring cup', 'discard thyme', 'you should have 2 cups syrup', 'cover with plastic', 'chill', 'in a large serving pitcher , stir together lemon juice , vodka , and chilled syrup', 'garnish with thyme', 'divide evenly among eight tumblers filled with ice', 'serve immediately']",4
293079,5,irish creme liqueur,8,"['sweetened condensed milk', 'evaporated milk', 'whipping cream', 'chocolate chips', 'instant coffee', 'irish whiskey']","['in a double boiler heat the can of condensed sweetened milk and chocolate chips', 'using the back of a large spoon , slowly and gently blend the melted chips into the sweetened condesed milk', 'when the mixture is blended remove the double boiler pan from the heat', 'slowly blend in the room temperature evaporated milk until the mixture is smooth', 'add the instant coffee and blend in well', 'slowly add the chilled whipping cream and blend together', 'add the irish whiskey and mix together', 'allow to cool or chill in refrigerator for best taste']",6
327132,5,dirty banana,2,"['rum', 'banana liqueur', 'irish cream', 'fat-free half-and-half', 'banana', 'ice cubes']","['blend together all ingredients for 30 seconds', 'use coconut rum or vodka for variation']",6
376026,5,finlandia midnight mango,2,"['mango vodka', 'triple sec', 'white cranberry juice', 'lime juice']","['shake and strain into a sugar-rimmed martini glass', 'garnish with a slice of mango']",4
59231,4,pina banana colada,7,"['ice cubes', 'bananas', 'coconut cream', 'pineapple juice', 'dark rum', 'light rum', 'fresh lemon juice', 'pineapple']","['freeze 4 tall glasses', 'in a blender , half of all ingredients except the pineapple spears and umbrellas', 'blend until smooth', 'divide between two frozen glasses', 'repeat', 'garnish each glass with a pineapple spear and a drink umbrellas !', 'enjoy !']",8
15514,5,a duck fart,3,"['amaretto', 'kahlua', 'baileys irish cream']","['place the ingredients in a shaker with ice', 'shake and then strain into 3 shot glasses', 'down the hatch !']",3
228565,4,purple rain,2,"['lime juice', 'pineapple juice', 'strawberry syrup', 'blue curacao', 'jamaican rum', 'ice']","['pour into a blender', 'add ice and blend']",6
431639,5,the best easy margarita,7,"['tequila', 'triple sec', 'limeade', 'limes', 'salt']","['1', 'mix the tequila triple sec , and limeade together in a 1 gallon container', '2', 'slice the limes in half , then in slices', 'place most of the lime slices in with the margarita', '3', 'use the remaining lime slices to salt your margarita glass , fill with ice and margarita , and enjoy !']",5
78833,1,hot buttered rum,5,"['dark rum', 'sugar syrup', 'nutmeg', 'hot water', 'cinnamon stick', 'butter']","['you need a heat proof drinking vessel , preferably a footed glass coffee mug', 'place rum and syrup on the bottom', 'fill with hot water stir with cinnamon stick , leave stick in mug', 'place butter pat on top', 'sprinkle nutmeg over the butter']",6
34268,5,german erdbeer bowle  strawberry wine punch,9,"['fresh strawberries', 'powdered sugar', 'lemon balm leaves', 'white wine', 'champagne']","['2-3 hours before your guests arrive , wash the strawberries , drain well and pat dry', 'halve the berries , then place them in the bottom of large punch bowl or glass pitcher', 'sprinkle the powdered sugar over them', 'rinse the lemon balm leaves and shake them dry', 'pluck the leaves from their stems and add them to the berries', 'pour one bottle of wine over the berry mixture , cover , and cool in the fridge', 'when the guests have arrived , add the remaining wine and the champagne', 'lemon balm is an herb in the mint family common in europe', 'if unavailable then use a vegetable peeler to cut about 5-6 long narrow curls of lemon rind in place of the balm']",5
171058,5,coctel bandera mexicana  mexican flag cocktail,3,"['tequila', 'limes, juice of', 'ice', 'powdered sugar', 'banana', 'thompson seedless grapes', 'maraschino cherries']","['mix the sugar and lime juice thoroughly , and then pour in tequila', 'shake with chopped ice and serve in cocktail glasses', 'drop into each glass a grape , cherry and banana ball']",7
329634,4,procession of the pink elephants,1,"['vodka', 'midori melon liqueur', 'pink lemonade', 'sugar']",['mix all ingredients and serve on the rocks'],4
444837,5,heathman hotel bloody mary mix,4,"['cocktail onion', 'brine', 'fresh garlic', 'horseradish', 'dill weed', 'celery seed', 'worchestershire sauce', 'dry vermouth', 'tabasco sauce', 'fresh ground pepper', 'tomato juice']","['place all ingredients except tomato juice into blender and puree', 'empty contents into gallon jar and fill the blender with tomato juice , then pour into gallon jar with other pureed ingredients', 'shake well ! best to make this a day ahead so the flavors have a chance to co-mingle', 'be creative with the garnish ! in addition to the typical celery stick and a lemon or lime wedge , consider these: marinated asparagus spear , olives , marinated mushrooms , hearts of palm , marinated green beans , caper berry , cherry tomato - i usually combine a couple of these onto a short skewer']",11
246665,4,wakey wakey,2,"['sambuca romana', 'espresso', 'cream']","['use a 50ml sherry glass', 'sambuca first , then layer with espresso and finish off with a top layer of cream']",3
